Actual,Predicted
139.9600067138672,136.5633
142.02000427246094,137.54526
144.57000732421875,138.8083
143.24000549316406,140.38654
145.11000061035156,141.66763
144.5,142.909
145.63999938964844,143.84393
149.14999389648438,144.66968
148.47999572753906,145.83588
146.38999938964844,146.86372
142.4499969482422,147.36673
146.14999389648438,146.97438
145.39999389648438,146.7945
146.8000030517578,146.59784
148.55999755859375,146.63484
148.99000549316406,147.02834
146.77000427246094,147.58473
144.97999572753906,147.80351
145.63999938964844,147.582
145.86000061035156,147.29695
145.52000427246094,147.05049
147.36000061035156,146.80562
146.9499969482422,146.87422
147.05999755859375,147.00664
146.13999938964844,147.17072
146.08999633789062,147.18877
145.60000610351562,147.13547
145.86000061035156,146.98366
148.88999938964844,146.84988
149.10000610351562,147.19398
151.1199951171875,147.72255
150.19000244140625,148.56247
146.36000061035156,149.27277
146.6999969482422,149.2534
148.19000244140625,148.97238
149.7100067138672,148.82614
149.6199951171875,148.97842
148.36000061035156,149.22342
147.5399932861328,149.28885
148.60000610351562,149.14738
153.1199951171875,149.09315
151.8300018310547,149.75484
152.50999450683594,150.4302
153.64999389648438,151.12622
154.3000030517578,151.89557
156.69000244140625,152.67496
155.11000061035156,153.6972
154.07000732421875,154.4265
148.97000122070312,154.76645
149.5500030517578,154.1164
148.1199951171875,153.22101
149.02999877929688,152.11876
148.7899932861328,151.22469
146.05999755859375,150.51514
142.94000244140625,149.59192
143.42999267578125,148.2609
145.85000610351562,147.0295
146.8300018310547,146.38188
146.9199981689453,146.23514
145.3699951171875,146.35675
141.91000366210938,146.35977
142.8300018310547,145.80576
141.5,145.23376
142.64999389648438,144.53162
139.13999938964844,144.05087
141.11000061035156,143.2143
142.0,142.64986
143.2899932861328,142.41423
142.89999389648438,142.55537
142.80999755859375,142.78891
141.50999450683594,143.02351
140.91000366210938,143.03282
143.75999450683594,142.8548
144.83999633789062,143.04184
146.5500030517578,143.514
148.75999450683594,144.29965
149.25999450683594,145.43681
149.47999572753906,146.63284
148.69000244140625,147.71085
148.63999938964844,148.45459
149.32000732421875,148.92827
148.85000610351562,149.30421
152.57000732421875,149.50049
149.8000030517578,150.14012
148.9600067138672,150.45001
150.02000427246094,150.4542
151.49000549316406,150.47675
150.9600067138672,150.71461
151.27999877929688,150.92784
150.44000244140625,151.15019
150.80999755859375,151.21613
147.9199981689453,151.2606
147.8699951171875,150.85353
149.99000549316406,150.30812
150.0,150.09293
151.0,150.04994
153.49000549316406,150.24493
157.8699951171875,150.88971
160.5500030517578,152.29102
161.02000427246094,154.21338
161.41000366210938,156.14902
161.94000244140625,157.86035
156.80999755859375,159.28847
160.24000549316406,159.59384
165.3000030517578,159.8813
164.77000427246094,160.84334
163.75999450683594,161.85358
161.83999633789062,162.58736
165.32000732421875,162.80061
171.17999267578125,163.27602
175.0800018310547,164.65417
174.55999755859375,166.78868
179.4499969482422,168.84668
175.74000549316406,171.3068
174.3300018310547,172.97748
179.3000030517578,173.84912
172.25999450683594,174.97794
171.13999938964844,174.93996
169.75,174.25876
172.99000549316406,173.17375
175.63999938964844,172.55882
176.27999877929688,172.62215
180.3300018310547,173.0664
179.2899932861328,174.2322
179.3800048828125,175.36786
178.1999969482422,176.34628
177.57000732421875,176.92624
182.00999450683597,177.14955
179.6999969482422,177.84966
